,Titre,Description,Détail des conditions,Résumé horaires,Adresse
11133,Les P'tites Histoires,P'tits Rendez-Vous,Entrée libre dans la limite des places disponibles. Renseignements à l'accueil jeunesse ou par téléphone au 01 41 23 80 65.,"Samedi 13 avril, 11h00","33, rue du gouverneur général Eboué, Issy-les-Moulineaux"
11134,Atelier : Crâne de Mégacéros - L'ombre majestueuse,En partenariat avec musée d’Archéologie nationale – Domaine national de Saint-Germain-en-Laye (MAN). Ces ateliers sont animés par l’artiste et auteure Clara Baum. A partir de 6 ans.,Entrée libre sur réservation,"Samedi 3 février, 14h30","90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France"
11135,Minilab : Habitation Gravure laser,Habilitation à la gravure et la découpe laser Trotec,"Gratuit, Sur inscription","Dimanche 30 juin, 14h30","90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France"
11136,LE DERNIER DES JUIFS,Nouveautés,,31 janvier - 6 février,"8 Prom. Coeur de Ville, 92130 Issy-les-Moulineaux"
11137,Atelier : À l'art découverte,Découvrez et expérimentez un courant artistique,Gratuit sur réservation,"Mercredi 7 février, 15h00","90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France"
11138,17ème édition des Rencontres de théâtre amateur d'Issy et d'Ailleurs du 26 février au 5 avril à l'Espace Icare,"Du 26 février au 5 avril, venez assister aux représentations des compagnies de théâtre amateur à l'Espace Icare.",Sur réservation,26 février - 5 avril,"31 Boulevard Gambetta, 92130 Issy-les-Moulineaux"
11139,Vacances bas carbone,"Venez échanger des astuces pour diminuer votre empreinte carbone pendant les vacances (le lieu, le transport, sur place…,)",Atelier sur inscription et adhésion nécessaire pour participer à cet atelier.,"Vendredi 22 mars, 18h30",54 rue d'Erevan 92130 Issy-les-Moulineaux
11140,LIVE MUSIC de dingue au Nida 💥,"Ces trois acolytes, forts de nombreuses années d'expérience musicales diverses, vous proposent un répertoire de reprises Blues/Rock",Sur inscription,"Mardi 23 janvier, 18h30","11, Promenade coeur de ville, Issy-les-Moulineaux"
11141,Soirée jeux de société Adultes : Espace et Science Fiction...,Une soirée jeux réservée pour les adultes.,Gratuit pour les adhérents - 2.20 € pour les non-adhérents,16 et 17 février,"15 allée Sainte-Lucie, 92130 Issy-les-Moulineaux"
11142,"Une heure, une œuvre : Le Tarot kabbalistique d’Oswald Wirth (1889).","Conférence par Gwenael Beuchet, attaché de conservation au Musée français de la carte à jouer",Entrée libre,"Dimanche 21 janvier, 16h00","16 rue Auguste Gervais, 92130 Issy-les-Moulineaux"
11143,OSS 117 LE CAIRE NID D'ESPIONS,Séance Culte,,"Samedi 23 mars, 18h00","8 Prom. Coeur de Ville, 92130 Issy-les-Moulineaux"
11144,Danse parents-bébé,"Un atelier ludique ouvert aux parents, père et mère, accompagnés de leur enfant âgé de 1 an à 2 ans et demi, animé par Pamela Cecilia Paniagua Sanchez, sur inscription.","Atelier gratuit, renseignements par téléphone, inscription par email, 4 duos parent-bébé par séance.","Samedi 25 mai, 09h30","60 rue du Général Leclerc, 92130"
11145,Atelier : Chant prénatal,Un atelier pour apporter un mieux-être pendant la grossesse animé par Judith Bloch-Christophe sur inscription.,"Atelier gratuit, renseignements par téléphone, inscription par email, 10 participants par séance.","Vendredi 14 juin, 19h00","60 rue du Général Leclerc, 92130"
11146,Si seulement je pouvais hiberner,"ATTENTION : séances uniquement en VO 
-VENDREDI 09 : 20h30 
-SAMEDI 10 : 18h00",,9 et 10 février,"11-13, rue Danton 92130 Issy-les-Moulineaux"
11147,Minilab : Apéro'Lab,"Un jeudi soir, à l'heure de l'apéro, venez découvrir les différentes ressources du Minilab !","Gratuit, sur réservation","Jeudi 14 mars, 19h00","90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France"
11148,Minilab : Création textile (flocage et broderie) 8-11 ans,Atelier de création textile,"Gratuit, Sur inscription","Samedi 23 mars, 14h30","90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France"
11149,Minilab : Création textile (flocage et broderie) 11-15 ans,Atelier de création textile,"Gratuit, Sur inscription","Samedi 11 mai, 14h30","90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France"
11150,La participation en famille,"Conférence-débat Par Frédéric Jésu, Médecin, ancien pédopsychiatre de service public.","Conférence gratuite, renseignements par téléphone, inscription en ligne, 60 participants maximum.","Mardi 21 novembre 2023, 20h30","60 rue du Général Leclerc, 92130"
11151,IL RESTE ENCORE DEMAIN Vostf,Avant-première,,"Vendredi 8 mars, 20h40","8 Prom. Coeur de Ville, 92130 Issy-les-Moulineaux"
11152,Spectacle : L'armoire Polyphonique,Du bureau d'étude de la chanson,Entrée libre,"Jeudi 4 juillet, 17h30, 19h30","Allée Sainte Lucie, 92130 Issy-les-Moulineaux"
11153,Mini Books,Initiation ludique à l'anglais pour les 7-9 ans.,"Inscription en ligne via Affluences, ou par téléphone au 01 41 23 81 62.","Mercredi 3 avril, 16h30","2 rue du Clos-Munier, 92130 Issy-les-Moulineaux"
11154,Les bibliothécaires racontent,"Contes du Quebec, Afrique ou autres pays Francophones",Sur inscription,"Mercredi 22 mars 2017, 16h30","33, rue du gouverneur général Eboué, Issy-les-Moulineaux"
11155,Ludissyme,Le festival de la création ludique !,Entrée libre,"Samedi 6 avril, 14h00","16 rue Auguste Gervais, 92130 Issy-les-Moulineaux"
11156,Philo en atelier: pourquoi raconter des histoires ?,"Nous pourrions nous en tenir aux faits. Nous pourrions ne vouloir que la vérité et dédaigner la fiction. Pourtant nous réclamons des histoires pour trouver le sommeil, pour nous réunir au coin du feu.",,"Mercredi 18 janvier 2017, 19h30","14 rue du Chevalier de la Barre, 92130 Issy les Moulineaux"
11157,Fini et infini,Atelier philo - cycle Questions existentielles,"Entrée sur réservation, gratuit","Jeudi 6 juin, 19h30","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
11158,"Nuit du cinéma : ""Les Chèvres""","Dans le cadre de la Nuit du cinéma, le samedi 9 mars 2024 à 18h30","TARIF UNIQUE  
1 FILM 5,90€ 
PASS 2 FILMS 10€ 
PASS 3 FILMS 12€","Samedi 9 mars, 18h30","11-13, rue Danton 92130 Issy-les-Moulineaux"
11159,Exposition : Jardins de traverses,Printemps des poètes : Un printemps persan,"Entrée libre, gratuit.",1 - 27 mars 2023,"60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
11160,Flashmob du Printemps d'amour,La danse pour célébrer le printemps,Entrée libre,"Jeudi 18 avril, 19h00","Impasse des quatre vents, 92130 Issy-les-Moulineaux"
11161,DEMON SLAYER : EN ROUTE VERS L'ENTRAINEMENT DES PILLIERS,Avant-Première,,"Samedi 24 février, 20h30","8 Prom. Coeur de Ville, 92130 Issy-les-Moulineaux"
11162,Les P'tites Histoires,P'tits Rendez-Vous,Entrée libre dans la limite des places disponibles. Renseignements à l'accueil jeunesse ou par téléphone au 01 41 23 80 65.,"Mercredi 24 avril, 16h30","33, rue du gouverneur général Eboué, Issy-les-Moulineaux"
11163,Jeu de l'oie,Atelier sur tablette numérique. Pour les 7-9 ans.,"Inscription en ligne via Affluences, à l'accueil jeunesse ou par téléphone au 01 41 23 80 65.","Mercredi 24 janvier 2024, 16h00","33, rue du gouverneur général Eboué, Issy-les-Moulineaux"
11164,Stage culturel : Chant,La Maison de la ferme organise un stage dédié au chant pour les 6/11 ans,"Résider à Issy-les-Moulineaux, être adhérent à l'association CLAVIM. Ouverture des inscriptions et paiement en ligne sur TÉLISS à partir du mardi 19 mars",8 - 12 avril,31 rue du Docteur Lombard 92130 Issy-les-Moulineaux
11165,UNE VIE,Avant-première,,"Mardi 20 février, 20h15","8 Prom. Coeur de Ville, 92130 Issy-les-Moulineaux"
11166,Minilab : Codage Twine 11-15 ans,Créer sa propre histoire interactive avec du HTML,"Gratuit, sur réservation","Samedi 24 février, 14h30","90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France"
11167,Wabi Dance Company - Spectacle Sat,La Wabi Dance Company présentera sa prochaine création chorégraphique “Sat” à l’Auditorium du Conservatoire Niedermeyer le samedi 23 mars 2024 à 16h.,Entrée gratuite sur réservation,"Samedi 23 mars, 16h00",11/13 rue Danton 92130 Issy les Moulineaux
11168,Minilab : Codage Initiation aux cartes Arduino 15 ans et +,Venez découvrir la carte Arduino,"Gratuit, sur réservation","Samedi 15 juin, 16h30","90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France"
11169,Minilab : Codage Initiation aux cartes Arduino 8-11 ans,Venez découvrir la carte Arduino,"Gratuit, sur réservation","Dimanche 16 juin, 16h30","90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France"
11170,Nouveaux tours de manège Allée Sainte Lucie !,"Du 9 mars au 6 avril, un manège pour enfants s’installe à l'Allée Sainte Lucie pour la plus grande joie de nos tout-petits !",Entrée libre,9 mars - 6 avril,"Allée Sainte Lucie, 92130 Issy-les-Moulineaux"
11171,"Conférence : Terremer, la Fantasy selon Ursula Le Guin par Mélanie Bost Fievet","Retour sur les origines et l'influence de la littérature Fantasy, pour les 11/14 ans","Gratuit pour les 11/14 ans, réservation par téléphone","Mardi 22 octobre 2019, 14h00","16 rue Auguste Gervais, 92130 Issy-les-Moulineaux"
11172,Exposition Les animaux et les records en Cœur de Ville,Il n'y a pas que les humains qui battent des records,Gratuit sur réservation en ligne,20 janvier - 29 février,14 rue Victor Hugo 92130 Issy-les-Moulineaux
11173,LA FORME DE L'EAU,Séance Culte,,"Samedi 24 février, 18h10","8 Prom. Coeur de Ville, 92130 Issy-les-Moulineaux"
11174,Animation : Pâques à travers l'Europe,Quizz et surprises chocolatées,Entrée libre,25 - 29 mars,"10 Rue Henri Mayer, 92130 Issy-les-Moulineaux"
11175,CELESTE ● GLASSBONE ● VESTIGE // Le Réacteur,"Le Réacteur présente CELESTE, GLASSBONE et VESTIGE samedi 25 mai 2024 à l'Espace Icare !",10/12€ en prévente - 13/15€ sur place,"Samedi 25 mai, 19h00","31 Boulevard Gambetta, 92130 Issy-les-Moulineaux"
11176,Vernissage: Jardins de traverses,"Peintures, dessins, pastels de Farhad Ostovani.","Entrée sur réservation, gratuit.","Vendredi 1 mars, 18h00","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
11177,Daaaaaali,"VENDREDI  01  : 20H30 
SAMEDI 02 :  21h00 
DIMANCHE 03 : 14h00 - 19H00 
LUNDI 04 : 20h30",,1 - 4 mars,"11-13, rue Danton 92130 Issy-les-Moulineaux"
11178,Ateliers (hyper) créatifs,Dès 7 ans.,Entrée libre dans la limite des places disponibles.,"Samedi 16 mars, 19h00","33, rue du gouverneur général Eboué, Issy-les-Moulineaux"
11179,Astérix - le secret de la potion magique,mercredi 13 mars à 14h30,,"Mercredi 13 mars, 14h30","11-13, rue Danton 92130 Issy-les-Moulineaux"
11180,Parasite,Dans le cadre de la Nuit du cinéma le samedi 9 mars à 21h,"TARIF UNIQUE  
1 FILM 5,90€ 
PASS 2 FILMS 10€ 
PASS 3 FILMS 12€","Samedi 9 mars, 21h00","11-13, rue Danton 92130 Issy-les-Moulineaux"
11181,Mercredi O'child,Les mercredis après-midi du mois de juillet dédiés aux enfants,Isséens -12 ans : 1.80€  Hors-commune -12 ans 2.60€,"12 - 26 juillet 2023, les mercredis","140-144 Promenade du Verger, 92130 Issy-les-Moulineaux"
11182,Marmottines,Les P'tits rendez-vous,"Entrée dans la limite des places disponibles.
Ticket à retirer avant la séance choisie à l'accueil jeunesse.","Mercredi 3 avril, 10h30","33, rue du gouverneur général Eboué, Issy-les-Moulineaux"
11183,Stage culturel : Cirque,La Maison des Hauts d'Issy organise un stage dédié à la pratique du cirque pour les 8/15 ans,"Résider à Issy-les-Moulineaux, être adhérent à l'association CLAVIM. Ouverture des inscriptions et paiement en ligne sur TÉLISS à partir du mardi 19 mars",8 - 10 avril,16 rue de l'Abbé Derry 92130 Issy-les-Moulineaux
11184,Le voyage de M'TOTO lunettes,Spectacle pour les 0-5 ans.,"Entrée libre dans la limite des places disponibles et sur présentation d'un ticket.
Les tickets sont à retirer 30 minutes avant le spectacle.","Samedi 27 avril, 16h00","33, rue du gouverneur général Eboué, Issy-les-Moulineaux"
11185,Les P'tits Cinés,Projection,Entrée libre dans la limite des places disponibles.,"Mercredi 20 mars, 16h30","2 rue du Clos-Munier, 92130 Issy-les-Moulineaux"
11186,Les P'tites Histoires,P'tits Rendez-Vous,Entrée libre dans la limite des places disponibles. Renseignements à l'accueil jeunesse ou par téléphone au 01 41 23 80 65.,"Samedi 6 avril, 11h00","33, rue du gouverneur général Eboué, Issy-les-Moulineaux"
11187,Les P'tites Histoires,P'tits Rendez-Vous,Entrée libre dans la limite des places disponibles. Renseignements à l'accueil jeunesse ou par téléphone au 01 41 23 80 65.,"Samedi 20 avril, 11h00","33, rue du gouverneur général Eboué, Issy-les-Moulineaux"
11188,Groupe de Parole Climat,Un groupe de parole pour parler des enjeux climatiques animé par Julien des Capitalistes Anonymes.,Atelier gratuit sur inscription et adhésion nécessaire pour participer à cet atelier.,"Mercredi 20 mars, 18h45",54 rue d'Erevan 92130 Issy-les-Moulineaux
11189,Les rois de la piste,"VENDREDI 29  : 20h30 
SAMEDI 30      : 21h00 
DIMANCHE 31 : 16h30 - 19h00  
LUNDI 01        : 20h30",,29 mars - 1 avril,"11-13, rue Danton 92130 Issy-les-Moulineaux"
11190,Chanter avec son enfant de 3 à 6 ans,"Un atelier ludique ouvert aux parents, père et mère, accompagnés de leur enfant âgé de 3 à 6 ans, animé par Marie-Anne Sévin, sur inscription.","Atelier gratuit, renseignements par téléphone, inscription par email, 5 participants par séance.","Samedi 6 avril, 10h30","60 rue du Général Leclerc, 92130"
11191,Danse parents-bébé,"Un atelier ludique ouvert aux parents, père et mère, accompagnés de leur enfant âgé de 1 an à 2 ans et demi, animé par Pamela Cecilia Paniagua Sanchez, sur inscription.","Atelier gratuit, renseignements par téléphone, inscription par email, 4 duos parent-bébé par séance.","Samedi 15 juin, 09h30","60 rue du Général Leclerc, 92130"
11192,LA SALLE DES PROFS,Avant-première,,"Dimanche 3 mars, 18h15","8 Prom. Coeur de Ville, 92130 Issy-les-Moulineaux"
11193,TWILIGHT CHAPITRE 2 : TENTATION,Séance Culte,https://www.ugc.fr/reservationSeances.html?id=330760125807,"Samedi 2 mars, 18h00","8 Prom. Coeur de Ville, 92130 Issy-les-Moulineaux"
11194,Danse parents-bébé,"Un atelier ludique ouvert aux parents, père et mère, accompagnés de leur enfant âgé de 1 an à 2 ans et demi, animé par Pamela Cecilia Paniagua Sanchez, sur inscription.","Atelier gratuit, renseignements par téléphone, inscription par email, 4 duos parent-bébé par séance.","Samedi 23 mars, 09h30","60 rue du Général Leclerc, 92130"
11195,Le cinéma des années 90,"Par Daniel Chocron, conférencier.",Entrée libre dans la limite des places disponibles.,"Dimanche 10 mars, 16h00","33, rue du gouverneur général Eboué, Issy-les-Moulineaux"
11196,"Entretien d'Issy ""Métamorphoses"" | Comment faire la ville à travers l’Architecture ? avec Salwa et Selma Mikou",Venez écouter celles qui ont réalisé la piscine Aquazena.,,"Jeudi 6 juin 2019, 20h00","62 rue du général Leclerc, 92130 Issy-les-Moulineaux"
11197,🍫 Atelier dégustation de chocolats grand cru,Rencontre avec une artisan chocolatière,Sur inscription. Prix public : 43€ - Prix adhérent : 37€,"Samedi 16 mars, 10h30, 14h30",62 rue du Général Leclerc 92130 Issy-les-Moulineaux
11198,"Vernissage de l'exposition ""Le Tarot d'Issy"" d'Edouard Prulhiere",Le Musée vous dévoile les montages photo réalisés par l'artiste plasticien Edouard Prulhiere.,Gratuit,"Dimanche 16 septembre 2018, 14h00",16 rue Auguste-Gervais 92130 Issy-les-Moulineaux
11199,Stage culturel : cinéma d'animation pour les 8/11 ans,La Halle des Épinettes organise un stage d’initiation au cinéma d’animation au début des vacances de printemps.,"Résider à Issy-les-Moulineaux, être adhérent à l'association CLAVIM. Ouverture des inscriptions et paiement en ligne sur TÉLISS à partir du mardi 19 mars",8 - 10 avril,"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France"
11200,Entretien d'Issy sur Galilée par Etienne KLEIN,"Dans le cadre du cycle des Entretiens d'Issy  ""Penser autrement""",,"Jeudi 29 février, 20h00","62 rue du général Leclerc, 92130 Issy-les-Moulineaux"
11201,Les P'tites Histoires,P'tits Rendez-Vous,Entrée libre dans la limite des places disponibles. Renseignements à l'accueil jeunesse ou par téléphone au 01 41 23 80 65.,"Samedi 9 mars, 11h00","33, rue du gouverneur général Eboué, Issy-les-Moulineaux"
